COHUTTA,HYDROPUMP,11/27/10,3/15/11,HYDROCAM,29.687276,-91.162492
NANTAHALLA,HYDROPUMP,11/27/10,3/15/11,HYDROCAM,29.687128,-91.162499
THERMALITO,HYDROPUMP,5/25/08,9/26/09,GENPUMP,29.687276,-91.162492
BUTTE,HYDROPUMP,5/25/08,9/26/09,GENPUMP,29.686929,-91.1625
CARGO,HYDROPUMP,5/25/08,9/26/09,GENPUMP,29.683147,-91.145448
LAGNAPPE,HYDROPUMP,5/25/08,9/26/09,GENPUMP,29.683124,-91.145471
CHER,HYDROPUMP,5/25/08,9/26/09,GENPUMP,29.683167,-91.145427
ANDOUILLE,HYDROPUMP,5/25/08,9/26/09,GENPUMP,29.683187,-91.145408
MOJO,HYDROPUMP,4/25/11,6/20/11,XYLO,29.66975,-91.13223
BBKING,HYDROPUMP,4/25/11,6/20/11,XYLO,29.669723,-91.132278
